ADDRESS,POINTS
1340 UNIVERSITY DR NW,-3286.712 1699.018|-3267.096 1699.052|-3265.642 1745.020|-3265.894 1894.621|-3270.382 1894.388|-3274.849 1893.932|-3279.288 1893.254|-3283.699 1892.364|-3288.054 1891.274|-3292.353 1889.974|-3296.582 1888.461|-3300.735 1886.749|-3304.803 1884.836|-3308.774 1882.735|-3312.632 1880.444|-3316.386 1877.964|-3320.007 1875.318|-3323.503 1872.494|-3326.851 1869.503|-3330.060 1866.356|-3355.554 1840.347|-3356.602 1839.091|-3357.434 1837.679|-3358.035 1836.166|-3358.392 1834.565|-3358.483 1832.931|-3358.322 1831.307|-3357.896 1829.728|-3357.232 1828.227
1620 UNIVERSITY DR NW,-3416.769 1937.298|-3414.896 1934.085|-3412.834 1930.993|-3410.597 1928.013|-3408.192 1925.178|-3405.627 1922.476|-3402.907 1919.941|-3400.041 1917.561|-3397.042 1915.359|-3393.925 1913.336|-3390.688 1911.490|-3387.354 1909.844|-3383.928 1908.399|-3380.419 1907.142|-3376.847 1906.097|-3373.219 1905.274|-3369.549 1904.651|-3365.851 1904.251|-3362.132 1904.062|-3358.413 1904.095|-3354.694 1904.340|-3351.003 1904.807|-3347.347 1905.485|-3343.733 1906.375|-3340.175 1907.476|-3336.694 1908.777|-3333.289 1910.278|-3329.976 1911.990|-3326.774 1913.880|-3323.684 1915.960|-3320.727 1918.206|-3317.896 1920.630|-3315.219 1923.210|-3282.147 1956.980|-3279.931 1959.359|-3277.827 1961.839|-3275.848 1964.430|-3274.003 1967.098|-3272.283 1969.867|-3270.703 1972.703|-3269.263 1975.616|-3267.963 1978.607|-3266.810 1981.643|-3265.803 1984.734|-3264.950 1987.870|-3264.251 1991.050|-3263.706 1994.252|-3263.315 1997.488|-3263.084 2000.735|-3263.007 2003.982|-3263.126 2087.789|-3269.445 2087.767|-3278.309 2087.834|-3287.166 2088.056|-3296.023 2088.434|-3304.866 2088.979|-3313.702 2089.691|-3322.517 2090.558|-3331.318 2091.592|-3340.098 2092.782|-3501.417 2092.393
612 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
608 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
604 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
710 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
709 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
706 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
705 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
702 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
701 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
703 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
707 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
711 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
712 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
708 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
704 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
801 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
805 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
809 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
810 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
806 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
802 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
803 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
807 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
811 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
812 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
808 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
804 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
901 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
905 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
906 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
902 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
903 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
907 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
908 1540 29 ST NW,-3832.395 2200.374|-3846.991 2202.954|-3861.622 2205.300|-3876.281 2207.413|-3890.982 2209.292|-3897.868 2205.912|-3923.747 2163.013|-3994.064 2097.908|-4019.887 2097.841|-4024.438 2093.260|-4024.466 2091.114|-4024.584 2082.530|-4025.018 2073.946|-4025.752 2065.384|-4026.786 2056.855|-4028.122 2048.371|-4029.764 2039.931|-4031.701 2031.558|-4033.931 2023.263|-4036.461 2015.046|-4039.271 2006.928|-4042.375 1998.922|-4045.759 1991.016|-4049.422 1983.244|-4053.357 1975.605|-4057.566 1968.110|-4062.032 1960.771|-4040.774 1933.139|-3835.793 2091.581|-3835.828 2111.663|-3881.972 2111.563|-3882.014 2129.543|-3832.221 2129.665
