ADDRESS,POINTS
940 MAHOGANY BV SE,11146.988 -17332.149|11145.359 -17330.481|11143.493 -17329.069|11141.437 -17327.968|11139.242 -17327.178|11133.000 -17325.455|11122.304 -17325.488|11124.457 -17335.952|11126.722 -17346.404|11154.803 -17339.577|11153.188 -17337.931|11150.937 -17335.963|11148.861 -17334.162
128 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
130 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
132 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
131 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
129 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
127 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
125 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
123 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
121 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
117 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
115 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
113 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
111 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
109 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
4 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
6 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
8 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
10 MARQUIS LN SE,10224.378 -16052.796|10224.350 -16092.459|10224.322 -16132.122|10224.308 -16148.612|10224.273 -16205.066|10225.035 -16208.035|10226.230 -16210.870|10227.845 -16213.483|10229.837 -16215.819|10232.389 -16218.387|10234.059 -16220.077|10235.213 -16221.123|10236.464 -16222.045|10242.161 -16222.235|10242.168 -16222.257|10251.948 -16222.601|10260.239 -16222.813|10268.522 -16222.835|10268.963 -16222.835|10272.011 -16222.790|10272.046 -16222.779|10282.175 -16222.435|10292.290 -16221.812|10302.384 -16220.889|10312.444 -16219.688|10320.993 -16218.443|10329.514 -16216.986|10338.001 -16215.329|10346.438 -16213.461|10348.850 -16212.894|10357.392 -16210.726|10365.886 -16208.335|10374.309 -16205.755|10382.677 -16202.953|10387.892 -16201.107|10386.228 -16197.972|10383.733 -16193.246|10379.349 -16184.728|10378.769 -16183.550|10377.141 -16180.247|10376.910 -16179.769|10373.666 -16172.920|10372.338 -16169.940|10367.207 -16158.131|10362.433 -16146.166|10358.022 -16134.068|10353.981 -16121.848|10352.821 -16118.323|10349.158 -16105.602|10345.893 -16092.781|10343.020 -16079.872|10340.552 -16066.873|10339.965 -16063.415|10338.036 -16050.572|10336.505 -16037.673|10333.149 -16005.315|10333.066 -16004.493|10332.688 -16000.823|10330.898 -15983.588|10328.731 -15981.909|10287.928 -15988.959|10260.323 -15993.629|10245.419 -15996.153|10242.008 -15996.731|10224.434 -15999.500
