ADDRESS,POINTS
8566 SPRING CREEK MR SW,-9736.671 -1247.136|-9622.132 -1247.225|-9612.422 -1247.225|-9613.058 -1244.500|-9613.897 -1241.820|-9615.820 -1236.772|-9617.973 -1231.813|-9620.336 -1226.954|-9622.922 -1222.206|-9625.082 -1218.136|-9626.969 -1213.944|-9628.584 -1209.641|-9629.919 -1205.226|-9630.968 -1200.745|-9631.723 -1196.208|-9632.177 -1191.627|-9632.338 -1187.035|-9632.394 -1167.553|-9632.408 -1162.639|-9632.429 -1154.577|-9642.873 -1154.577|-9717.398 -1154.599|-9719.132 -1154.699|-9720.838 -1154.999|-9722.494 -1155.500|-9724.088 -1156.189|-9725.584 -1157.057|-9726.975 -1158.091|-9728.241 -1159.280|-9729.352 -1160.604|-9730.317 -1162.060|-9731.107 -1163.628|-9731.708 -1165.274|-9732.113 -1166.975|-9736.636 -1192.583
1919 77 ST SW,-8956.548 -1161.238|-8956.653 -1159.492|-8956.953 -1157.757|-8957.457 -1156.078|-8958.156 -1154.466|-9047.976 -1154.410|-9047.976 -1158.202|-9048.186 -1320.024|-9048.193 -1325.150|-9031.863 -1326.017|-9015.016 -1326.551|-8998.155 -1326.729|-8961.217 -1326.718|-8956.730 -1322.226
83V 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
84V 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
85S 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
86V 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
87V 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
88V 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
89V 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
90V 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
91V 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
92V 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
93V 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
94V 205 SPRING CREEK CM SW,-9683.152 -1354.972|-9683.278 -1353.271|-9684.592 -1353.271|-9715.287 -1353.360|-9720.963 -1359.087|-9721.851 -1358.197|-9729.750 -1366.159|-9728.807 -1367.104|-9734.861 -1373.220|-9734.798 -1396.737|-9730.030 -1396.726|-9730.030 -1397.249|-9724.270 -1397.238|-9724.270 -1396.637|-9711.757 -1396.582|-9711.778 -1384.506|-9703.900 -1376.489|-9689.360 -1376.466|-9689.360 -1376.122|-9689.360 -1374.721|-9685.403 -1374.721|-9685.396 -1375.043|-9684.879 -1375.043|-9675.903 -1375.021|-9675.959 -1354.961
