ADDRESS,POINTS
45 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
47 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
49 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
51 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
80 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
82 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
84 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
88 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
62 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
64 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
68 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
70 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
72 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
74 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
57 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
59 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
61 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
63 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
65 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
94 ROYAL ELM GR NW,-10953.797 10627.815|-10982.206 10647.797|-10988.833 10652.456|-10996.453 10656.426|-11013.810 10665.499|-11038.661 10681.222|-11047.064 10686.537|-11050.056 10686.537|-11070.133 10686.549|-11084.309 10686.560|-11088.510 10686.560|-11103.617 10686.571|-11117.731 10686.582|-11120.534 10686.582|-11142.204 10686.593|-11171.690 10686.615|-11173.256 10686.615|-11174.591 10683.691|-11185.790 10659.117|-11194.179 10640.703|-11196.618 10635.343|-11198.156 10631.963|-11199.904 10629.405|-11211.669 10612.181|-11217.443 10603.719|-11222.287 10596.625|-11209.725 10596.625|-11204.517 10596.614|-11195.171 10596.614|-11177.835 10596.603|-11173.843 10596.592|-11167.929 10596.592|-11125.127 10596.570|-11093.830 10596.547|-11062.072 10596.525|-11022.674 10596.503|-11016.886 10596.492|-11006.428 10596.492|-11001.626 10596.481|-10999.655 10596.592|-10997.704 10596.914|-10995.796 10597.448|-10993.964 10598.193|-10991.951 10599.005|-10989.861 10599.605|-10987.722 10599.961|-10985.555 10600.095|-10983.437 10599.983|-10981.339 10599.661|-10979.291 10599.116|-10977.306 10598.349|-10975.419 10597.381|-10973.650 10596.214|-10972.007 10594.868|-10970.518 10593.356|-10968.980 10591.388|-10967.701 10589.231|-10966.967 10587.630|-10966.373 10585.973|-10962.710 10585.973|-10938.579 10585.951|-10934.468 10585.951
