ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
1138 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1140 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1137 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1135 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1133 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1131 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1129 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1127 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1125 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1123 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1121 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1119 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1117 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1115 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1113 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1109 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1107 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1105 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1103 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1201 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1202 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1204 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1206 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1208 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1210 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1212 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1214 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
1216 81 LEGACY BV SE,Residential,LEGACY,M-X2,"MULTIPOLYGON (((-114.0232874 50.8629863, -114.0232872 50.8626515, -114.0222318 50.8626517, -114.0222316 50.8622778, -114.0222315 50.8620124, -114.0222314 50.8618771, -114.0217937 50.8618771, -114.0217913 50.8626923, -114.0217912 50.8627532, -114.0217923 50.8627698, -114.0217959 50.8627863, -114.0218019 50.8628026, -114.0218103 50.8628184, -114.021821 50.8628336, -114.0218338 50.8628482, -114.0218487 50.8628619, -114.0218656 50.8628747, -114.0218843 50.8628865, -114.0219047 50.8628971, -114.0219265 50.8629065, -114.0219496 50.8629146, -114.0219737 50.8629213, -114.0219988 50.8629265, -114.0220245 50.8629303, -114.0220507 50.8629325, -114.0222098 50.8629424, -114.0223684 50.8629547, -114.0225266 50.8629692, -114.0226842 50.862986, -114.0228501 50.8629858, -114.0232874 50.8629863)))"
